
> customer-portal@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://192.168.88.7:3002
✓ Ready in 504ms

 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 854ms (next.js: 348ms, application-code: 506ms)
 GET /menu/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 68ms (next.js: 10ms, application-code: 58ms)
 GET /menu/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 55ms (next.js: 2ms, application-code: 53ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 144ms (next.js: 85ms, application-code: 59ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 33ms (next.js: 1023µs, application-code: 32ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 27ms (next.js: 1612µs, application-code: 25ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 33ms (next.js: 958µs, application-code: 32ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 33ms (next.js: 1417µs, application-code: 32ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 29ms (next.js: 1007µs, application-code: 28ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 28ms (next.js: 983µs, application-code: 27ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 27ms (next.js: 991µs, application-code: 26ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 27ms (next.js: 932µs, application-code: 26ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 34ms (next.js: 835µs, application-code: 33ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 30ms (next.js: 1501µs, application-code: 29ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 961µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 787µs, application-code: 25ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 1087µs, application-code: 24ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 762µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 26ms (next.js: 921µs, application-code: 26ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 27ms (next.js: 1504µs, application-code: 25ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 899µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 975µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 742µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 1756µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 804µs, application-code: 24ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 850µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 747µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 1059µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 1046µs, application-code: 24ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 37ms (next.js: 912µs, application-code: 36ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 37ms (next.js: 837µs, application-code: 36ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 834µs, application-code: 24ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 905µs, application-code: 24ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 1109µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 26ms (next.js: 1250µs, application-code: 25ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 723µs, application-code: 25ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 827µs, application-code: 21ms)
